tag,precision,recall,f1,support
BUG,0.8040540540540541,0.6918604651162791,0.74375,172
FEATURE,0.8855218855218855,0.8825503355704698,0.8840336134453781,298
DOCS,0.8456140350877193,0.8339100346020761,0.8397212543554007,289
PERFORMANCE,0.7951219512195122,0.6626016260162602,0.7228381374722838,246
SECURITY,0.6904761904761905,0.35802469135802467,0.4715447154471545,81
UI,0.7916666666666666,0.4523809523809524,0.5757575757575758,84
micro avg,0.8321951219512195,0.729059829059829,0.7772209567198177,1170
macro avg,0.8020757971710047,0.6468880175073437,0.7062742160796321,1170
weighted avg,0.8244391852578987,0.729059829059829,0.7678832473918558,1170
samples avg,0.8593999999999999,0.8164333333333332,0.8002650793650794,1170
hamming_loss,,,0.163,500
subset_accuracy,,,0.412,500
