class,precision,recall,f1,support
0,0.9782608695652174,1.0,0.989010989010989,45
1,0.9574468085106383,0.9782608695652174,0.967741935483871,46
2,1.0,1.0,1.0,44
3,0.9787234042553191,1.0,0.989247311827957,46
4,1.0,1.0,1.0,45
5,0.9183673469387755,0.9782608695652174,0.9473684210526315,46
6,1.0,0.9555555555555556,0.9772727272727273,45
7,1.0,1.0,1.0,45
8,1.0,0.3333333333333333,0.5,3
9,0.9767441860465116,0.9333333333333333,0.9545454545454546,45
macro avg,0.9809542615316461,0.9178743961352657,0.9325186839193631,410
weighted avg,0.9787413542657207,0.9780487804878049,0.9769213791026289,410
micro avg (== accuracy),0.9780487804878049,0.9780487804878049,0.9780487804878049,410
